en_Air Elemental,A tempest that is never shaken;
zh_Air Elemental,一阵永不动摇的风暴
en_Akami Ascendant,It's not easy being green;
zh_Akami Ascendant,做绿色的事并不容易
en_Akami Muckcaller,Not very quick. Uses magic to bring everyone else to his level;
zh_Akami Muckcaller,不太灵活。通过魔法将别人拉到自己的水平
en_Akami Shaman,The lizard wizard;
zh_Akami Shaman,蜥蜴巫师
en_Akami Stormcaller,Master of green lightning.;
zh_Akami Stormcaller,绿电之主
en_Banshee,Her talent feeds her darker side;
zh_Banshee,她的才华滋养着她更黑暗的一面
en_Shadow Dragon,Surprisingly sneaky for something so large;
zh_Shadow Dragon,对这么庞大的生物来说，竟然出奇地狡猾
en_Brownie,Normally peaceful, but you're in the way of her cleaning;
zh_Brownie,通常很平和，但你挡了她打扫的路
en_Chromatic Demon,Elemental, my dear adventurer;
zh_Chromatic Demon,元素，亲爱的冒险者
en_Clone,Likes looking in the mirror;
zh_Clone,喜欢照镜子
en_Cumulo Nimbus,Full of hot air;
zh_Cumulo Nimbus,充满热气
en_Demon,Stuck at 665 victims;
zh_Demon,卡在665个受害者那里
en_Disciple of Chaos,Insane devotee of a dark god;
zh_Disciple of Chaos,疯狂的黑暗神祇信徒
en_Earth Elemental,Was a rock, back before the accident;
zh_Earth Elemental,曾经是一块岩石，在那次事故之前
en_Efreet,Easily bored, so he likes to keep things interesting,Both players draw 3 cards at the start of their turn;
zh_Efreet,容易感到无聊，所以他喜欢保持事情的趣味性,双方在每回合开始时各抽三张牌
en_Faerie Rogue,Has a tiny sword, but really knows how to use it;
zh_Faerie Rogue,拥有一把小剑，但她知道如何好好利用它
en_Fire Elemental,Helpful at barbeques;
zh_Fire Elemental,在烧烤时非常有用
en_Gelatinous Cube,Eats everything. Including you.;
zh_Gelatinous Cube,什么都吃，包括你
en_Genie,Will give you three wishes. And you'll like it.;
zh_Genie,会给你三个愿望。而且你会喜欢它
en_Ghost,Spooky soul-sucking sheet;
zh_Ghost,恐怖的吸魂床单
en_Ghoul,Falling apart before your eyes,Invulnerable but decaying;
zh_Ghoul,在你眼前一点一点崩解,无法被伤害但在腐化
en_Giant Shark,Immune to nose punching;
zh_Giant Shark,免疫鼻子攻击
en_Giant Spider,Traps flies. Spins webs. Some spider;
zh_Giant Spider,捕捉苍蝇，织网，一只蜘蛛
en_Kraken,Devourer of ships, oceanfront property, and adventurers;
zh_Kraken,吞噬船只、海滨房产和冒险者
en_Goblin,Goblins never travel alone;
zh_Goblin,哥布林从不独自出行
en_Goblin Hoarder,A goblin and his treasure are rarely parted;
zh_Goblin Hoarder,哥布林和它的宝藏很少分开
en_Goblin King,Goblins and explosives: a dangerous combination;
zh_Goblin King,哥布林和炸药：危险的组合
en_Goblin Mechanist,Half the time: brilliant. Half the time: on fire. Half the time: both.,Copies equipment you play;
zh_Goblin Mechanist,一半的时间：天才。另一半的时间：着火。还有一半：两者兼具,复制你使用的装备
en_Griffon,Not a mount;
zh_Griffon,不是坐骑
en_Hag,Her house has chicken feet;
zh_Hag,她的房子有鸡爪
en_Hand of Glory,Likes: Dancing\\n Dislikes: You,Every other turn causes you to dance, damaging yourself;
zh_Hand of Glory,喜欢：跳舞\n讨厌：你,每隔一回合让你跳舞，自损伤害
en_Harpy,Vile in manner and odor;
zh_Harpy,举止和气味都很恶心
en_Hydra,Many, many heads\\n Grow back after every turn\\n Fire and poison help;
zh_Hydra,许多许多头\\n 每回合后都重新长出来\\n 火焰与毒药帮助
en_Ice Queen,For destruction ice is also great;
zh_Ice Queen,毁灭之冰也同样伟大
en_Kobold,Goblins use them like miners use canaries: if the kobolds start dropping, there must be adventurers about;
zh_Kobold,哥布林像矿工使用金丝雀一样使用它们：如果小妖怪开始倒下，说明附近一定有冒险者
en_Lich,Heart was two sizes too small. Made it easy to fit in a jar.;
zh_Lich,心脏比正常尺寸小了两倍。让它很容易就能装进瓶子里
en_Mage,A conjuror of cheap tricks. And fireballs;
zh_Mage,低级把戏的施法者。还有火球术
en_Magmadon,Evolved to overcome a meteor;
zh_Magmadon,进化以克服陨石
en_Medusa,Tends a stone garden in her spare time;
zh_Medusa,闲暇时照料她的石园
en_Mime,Silent but deadly;
zh_Mime,沉默却致命
en_Mimic,The chest bites you;
zh_Mimic,箱子咬了你
en_Ooze,Hungry for new friends;
zh_Ooze,渴望新的朋友
en_Orc,Like goblins. But with steroids;
zh_Orc,像哥布林，但用了类固醇
en_Phoenix,Unending firebird;
zh_Phoenix,永不熄灭的火鸟
en_Piranha,Never, never lets you go;
zh_Piranha,永远永远不放手
en_Pixie,Now you see him. Now you're on fire,Generates 3 mana each turn;
zh_Pixie,现在你看到它。现在你着火了,每回合生成3点法力
en_Priest,Hears voices. They tell him to kill. To kill you.;
zh_Priest,听到声音。它们告诉他要杀掉你
en_Red Dragon,Enforcer of the ancient law: no two people are not on fire;
zh_Red Dragon,古老法则的执行者：没有人是没有着火的
en_Revenant,Always gets an encore,Returns after his first death;
zh_Revenant,总是会得到再度登场,死后复生
en_Siren,Thinks you'd make a wonderful special friend;
zh_Siren,认为你会是一个很棒的特别朋友
en_Skeleton,Bony and proud of it;
zh_Skeleton,骨头多，且为此骄傲
en_Sphinx,Ancient riddles. Medieval answers.,Forbids most common card type in your hand;
zh_Sphinx,古老的谜语，中世纪的答案,禁止你手中大部分常见卡牌类型
en_Stone Golem,Common weapon in mage's duels. Often the only survivor.;
zh_Stone Golem,法师决斗中的常见武器。通常是唯一幸存者
en_Storm Giant,Walks loudly and carries a big stick;
zh_Storm Giant,走路很响，手持大棒
en_Thief,A fellow adventurer who really, really doesn't like to share;
zh_Thief,一个非常非常不喜欢分享的同伴冒险者
en_Titan,God of storms. Not chained to a rock.;
zh_Titan,暴风之神，不再被锁链束缚
en_Treant,You snap twigs, he breaks bones;
zh_Treant,你折断小树枝，他却打断大骨头
en_Troll,Doesn't like you tromping around;
zh_Troll,不喜欢你四处乱踩
en_Unicorn,You're not really her type;
zh_Unicorn,你并不是她喜欢的类型
en_Ussuri Hunter,Homicidal psycho jungle cat,Limits your turns to 10 seconds;
zh_Ussuri Hunter,嗜血的精神病丛林猫,限制你每回合10秒钟
en_Ussuri Tracker,The fastest draw in the dream;
zh_Ussuri Tracker,梦境中最快的抽牌
en_Ussuri Ambusher,Silent, still, stalking,Always takes the first turn;
zh_Ussuri Ambusher,寂静、静止、潜行，总是先手行动
en_Ussuri War Queen,She rules the leap, the pride, and the streak;
zh_Ussuri War Queen,她统治着跳跃、荣耀和猎杀
en_Vampire,Not at all sparkly;
zh_Vampire,一点也不闪亮
en_Vampire Bat,Wishes it could be a real vampire;
zh_Vampire Bat,希望自己能成为真正的吸血鬼
en_Warrior,Always a bully. And you can't stand bullies;
zh_Warrior,总是一个恶霸，而你无法忍受恶霸
en_Water Elemental,Tried to drown the whole world;
zh_Water Elemental,曾试图淹没整个世界
en_White Dragon,It's exactly as cold as its heart,You have -1 card in hand;
zh_White Dragon,它的冰冷正如它的心灵,你手牌减少1张
en_Wisp,Light in the wild\\n Flickering radiantly\\n Follow to your doom;
zh_Wisp,荒野中的光\\n 闪烁着光芒\\n 跟随它，走向灭亡
en_Wraith,Disembodied soul\\n Feels angry, lost, and alone\\n Wants to eat your face;
zh_Wraith,无身的灵魂\\n 感到愤怒、迷失和孤单\\n 想吃掉你的脸
en_Wyvern,Flies around and stings. Much like a very large bee;
zh_Wyvern,飞来飞去并且蜇人，就像一只巨大的蜜蜂
en_Yellow Dragon,No cell service within 30 feet,You have -1 action\nYou start with no mana;
zh_Yellow Dragon,30英尺范围内没有手机信号,你失去1个行动点\n你开始时没有法力
en_Zombie,Like a toddler: tries to make friends by biting;
zh_Zombie,像个婴儿：通过咬人来交朋友
en_DECREE, Makes decrees
zh_DECREE,指定法则
en_CHOICES,Makes you choose your death
zh_CHOICES,令你选择自己的死法
en_GIFTS, Requires gifts
zh_GIFTS,索要礼物
en_CANCELS,Your cards decay
zh_CANCELS,令你的卡牌衰退
en_PHYS_IMMUNE,Physical resistant
zh_PHYS_IMMUNE,物理抗性
en_ELEMENT_IMMUNE,Elemental resistant
zh_ELEMENT_IMMUNE,元素抗性
en_FAST,Reduces your time
zh_FAST,减少你的时间
en_DOUBLE_TURN,Takes double turns
zh_DOUBLE_TURN,额外行动一回合
en_VAMPIRIC,Vampiric
zh_VAMPIRIC,吸血
en_FLAVORED,Piercing
zh_FLAVORED,<<SK|piercing>>
en_POISONOUS,Poisonous
zh_POISONOUS,带毒
en_SUPER_EQUIPPED,Well-armored
zh_SUPER_EQUIPPED,全副武装